module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
1048576	2	1000	60	5	0.926478	1425331762.403224	1425331761.476729	740	0
1048576	2	1000	60	5	0.927212	1425334559.321191	1425334558.393962	740	0
1048576	2	1000	60	5	1.072103	1425337348.925767	1425337347.853647	972	232
131072	2	100	60	5	0.925498	1425331255.580203	1425331254.654689	740	0
131072	2	100	60	5	1.074103	1425334053.229277	1425334052.155157	972	232
131072	2	100	60	5	0.926581	1425336842.48036	1425336841.553763	740	0
131072	2	50000	60	5	1.078399	1425333641.404427	1425333640.326011	2600	232
131072	2	50000	60	5	0.932267	1425336427.839895	1425336426.907612	740	0
131072	1	50000	200	5	8.137029999999999	1425339011.612262	1425339003.475214	3092	744
131072	2	50000	60	5	1.077625	1425339225.920131	1425339224.842489	972	232
4194304	2	5000	60	5	0.927246	1425332294.112617	1425332293.185355	740	0
4194304	2	5000	60	5	0.927361	1425335086.151583	1425335085.224205	740	0
4194304	2	5000	60	5	1.074905	1425337878.897503	1425337877.822581	972	232
524288	2	500	60	5	0.926835	1425331437.875816	1425331436.948965	740	0
524288	2	500	60	5	1.07218	1425334235.536028	1425334234.463831	972	232
524288	2	500	60	5	0.927241	1425337024.926512	1425337023.999255	740	0
8388608	2	10000	70	5	1.254131	1425332974.131366	1425332972.877218	972	232
8388608	2	10000	70	5	1.081932	1425335762.986851	1425335761.904903	740	0
8388608	2	10000	70	5	1.082365	1425338558.578749	1425338557.496364	740	0
2097152	1	5000	200	5	8.164398	1425332076.145883	1425332067.981468	3104	744
1048576	2	1000	70	5	1.082485	1425331766.975103	1425331765.892601	740	0
1048576	2	1000	70	5	1.252811	1425334564.062219	1425334562.809392	972	232
1048576	2	1000	70	5	1.083649	1425337353.532976	1425337352.44931	740	0
131072	2	50000	70	5	1.089519	1425333645.966921	1425333644.877386	740	0
131072	2	50000	70	5	1.089863	1425336432.447913	1425336431.358034	740	0
131072	2	50000	70	5	1.101914	1425339230.541499	1425339229.439475	-3100	0
4194304	2	5000	70	5	1.253466	1425332298.856362	1425332297.60288	972	232
4194304	2	5000	70	5	1.096592	1425335090.754002	1425335089.657299	-3100	0
4194304	2	5000	70	5	1.253054	1425337883.658072	1425337882.405001	972	232
524288	2	500	70	5	1.253007	1425331442.643227	1425331441.390203	972	232
2097152	1	5000	200	5	8.13552	1425334873.976828	1425334865.841291	3108	744
524288	2	500	70	5	1.270738	1425334240.330514	1425334239.059658	-2872	232
524288	2	500	70	5	1.082408	1425337029.495865	1425337028.413441	740	0
8388608	2	10000	80	5	1.418072	1425332979.396334	1425332977.978245	972	232
8388608	2	10000	80	5	1.22518	1425335768.042105	1425335766.816909	740	0
8388608	2	10000	80	5	1.418067	1425338563.797699	1425338562.379616	972	232
1048576	2	1000	80	5	1.420731	1425331772.227303	1425331770.806556	2596	232
1048576	2	1000	80	5	1.418782	1425334569.298966	1425334567.880167	972	232
1048576	2	1000	80	5	1.419399	1425337358.795426	1425337357.376011	972	232
131072	2	50000	80	5	1.230604	1425333651.031965	1425333649.801343	2388	0
131072	2	50000	80	5	1.423386	1425336437.698616	1425336436.275213	972	232
2097152	1	5000	200	5	8.133958	1425337662.857122	1425337654.723148	3104	744
131072	2	50000	80	5	1.231725	1425339235.590667	1425339234.358923	740	0
4194304	2	5000	80	5	1.416021	1425332304.092707	1425332302.676669	972	232
4194304	2	5000	80	5	1.225565	1425335095.809253	1425335094.583673	740	0
4194304	2	5000	80	5	1.417951	1425337888.913339	1425337887.495372	972	232
524288	2	500	80	5	1.418503	1425331447.905296	1425331446.486778	972	232
524288	2	500	80	5	1.22437	1425334245.35367	1425334244.129283	740	0
524288	2	500	80	5	1.227177	1425337034.566258	1425337033.339064	2364	0
8388608	2	10000	90	5	1.587581	1425332985.144284	1425332983.556688	972	232
8388608	2	10000	90	5	1.588359	1425335773.784467	1425335772.196092	972	232
8388608	2	10000	90	5	1.372202	1425338569.306153	1425338567.933936	740	0
131072	1	500	200	5	8.140753999999999	1425331419.618675	1425331411.477904	3092	744
524288	2	1000	90	5	1.594767	1425331777.950378	1425331776.355503	-2904	232
524288	2	1000	90	5	1.38071	1425334574.853009	1425334573.472191	-3100	0
524288	2	1000	90	5	1.3717	1425337364.315421	1425337362.943705	740	0
131072	2	50000	90	5	1.378999	1425333656.556853	1425333655.177837	740	0
131072	2	50000	90	5	1.379421	1425336443.2368	1425336441.857362	740	0
131072	2	50000	90	5	1.38149	1425339241.142039	1425339239.760532	2388	0
4194304	2	5000	90	5	1.596953	1425332309.823081	1425332308.22602	-2904	232
4194304	2	5000	90	5	1.371361	1425335101.337941	1425335099.966564	2388	0
4194304	2	5000	90	5	1.371879	1425337894.423814	1425337893.051919	740	0
262144	2	500	90	5	1.385512	1425331453.430575	1425331452.044953	-3104	0
131072	1	500	200	5	7.407044	1425334217.298934	1425334209.891873	3104	744
262144	2	500	90	5	1.583691	1425334251.084262	1425334249.500554	2596	232
262144	2	500	90	5	1.602814	1425337040.312288	1425337038.709358	-2872	232
524288	4	10000	1000	5	9.960264	1425333168.563545	1425333158.603264	2348	0
524288	4	10000	1000	5	9.975714	1425335957.565094	1425335947.589365	2360	0
524288	4	10000	1000	5	9.975892	1425338753.856991	1425338743.881083	2360	0
131072	4	50000	1000	5	9.964912	1425333838.969789	1425333829.00486	2348	0
131072	4	50000	1000	5	9.952493	1425336628.839519	1425336618.88701	2360	0
131072	4	50000	1000	5	9.962571000000001	1425339426.1104	1425339416.147813	2360	0
262144	4	5000	1000	5	9.961239000000001	1425332493.948332	1425332483.987078	868	0
262144	4	5000	1000	5	9.956666	1425335284.825708	1425335274.869025	2360	0
131072	1	500	200	5	7.420167	1425337006.896967	1425336999.476784	3104	744
262144	4	5000	1000	5	9.966336999999999	1425338081.284954	1425338071.3186	2360	0
8388608	4	10000	100	5	0.993067	1425333110.787377	1425333109.794294	7864	5604
8388608	4	10000	100	5	1.185791	1425335900.111223	1425335898.925322	-2904	228
8388608	4	10000	100	5	1.173693	1425338696.400957	1425338695.227248	968	228
524288	4	1000	100	5	1.172681	1425331852.005518	1425331850.832821	2588	228
524288	4	1000	100	5	0.9928360000000001	1425334648.777322	1425334647.78447	6216	5604
524288	4	1000	100	5	0.992393	1425337438.165852	1425337437.173442	6216	5604
131072	4	50000	100	5	1.173541	1425333781.570701	1425333780.397144	2600	232
131072	4	50000	100	5	1.004745	1425336570.180067	1425336569.175211	2376	5608
131072	4	50000	100	5	0.993313	1425339367.421594	1425339366.428264	6220	5608
131072	1	10000	20	5	0.757738	1425332659.41557	1425332658.657816	2364	0
4194304	4	5000	100	5	1.172956	1425332435.319201	1425332434.146229	968	228
4194304	4	5000	100	5	0.993312	1425335226.138089	1425335225.14476	6216	5604
4194304	4	5000	100	5	0.993571	1425338022.897581	1425338021.903993	6216	5604
262144	4	500	100	5	0.997109	1425331501.487754	1425331500.490623	7844	5604
262144	4	500	100	5	0.996354	1425334298.679101	1425334297.68273	6216	5604
262144	4	500	100	5	0.995711	1425337088.050005	1425337087.054278	6216	5604
4194304	4	10000	200	5	2.312409	1425333118.547027	1425333116.234603	2592	232
4194304	4	10000	200	5	1.957523	1425335907.528706	1425335905.571168	2368	0
4194304	4	10000	200	5	1.959528	1425338703.822211	1425338701.862666	2360	0
262144	4	1000	200	5	2.320844	1425331859.769946	1425331857.448988	-2872	232
131072	1	50000	1000	5	42.533839	1425336411.946431	1425336369.412575	3068	752
131072	1	10000	20	5	0.768144	1425335449.564679	1425335448.796423	-3100	0
262144	4	1000	200	5	2.308786	1425334656.550647	1425334654.241846	2620	232
262144	4	1000	200	5	2.319194	1425337445.942158	1425337443.622847	-2872	232
131072	4	50000	200	5	1.970854	1425333788.972878	1425333787.001913	-3136	0
131072	4	50000	200	5	2.312743	1425336577.952553	1425336575.639793	2600	232
131072	4	50000	200	5	2.314791	1425339375.201445	1425339372.886636	2592	232
2097152	4	5000	200	5	2.309741	1425332443.081423	1425332440.771666	2592	232
2097152	4	5000	200	5	2.308302	1425335233.932022	1425335231.623704	2592	232
2097152	4	5000	200	5	1.965765	1425338030.317422	1425338028.351545	-3136	0
131072	4	500	200	5	1.970146	1425331508.898398	1425331506.928142	-3104	0
131072	4	500	200	5	1.954782	1425334306.097898	1425334304.143098	2388	0
131072	1	10000	20	5	0.757688	1425338245.600327	1425338244.842622	2388	0
131072	4	500	200	5	1.971555	1425337095.510665	1425337093.538995	-3104	0
33554432	4	10000	20	5	0.254903	1425333084.658305	1425333084.403385	968	228
33554432	4	10000	20	5	0.255525	1425335873.4535	1425335873.197958	968	228
33554432	4	10000	20	5	0.218401	1425338669.963333	1425338669.744916	740	0
2097152	4	1000	20	5	0.218641	1425331825.3342	1425331825.115543	740	0
2097152	4	1000	20	5	0.254512	1425334622.634987	1425334622.380459	968	228
2097152	4	1000	20	5	0.254989	1425337411.797798	1425337411.542792	968	228
262144	4	100	20	5	0.218642	1425331265.201948	1425331264.983291	740	0
262144	4	100	20	5	0.254047	1425334062.859228	1425334062.605166	968	228
262144	4	100	20	5	0.218758	1425336852.085978	1425336851.867204	740	0
