module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
131072	2	50000	1000	5	0.000124	1425336542.066945	1425336542.066815	284.8827763886885	569.7655527773769
131072	2	50000	1000	5	0.000123	1425339339.333342	1425339339.333211	284.8986322926995	569.797264585399
262144	2	5000	1000	5	0.000122	1425332406.8462	1425332406.846071	286.2850343369165	572.5700686738329
262144	2	5000	1000	5	0.000123	1425335197.8544	1425335197.854269	284.9045085787351	569.8090171574703
262144	2	5000	1000	5	0.000124	1425337994.729566	1425337994.729436	285.4022875383491	570.8045750766983
8388608	2	10000	100	5	0.000123	1425332991.154687	1425332991.154557	276.5062522635802	553.0125045271604
8388608	2	10000	100	5	0.000124	1425335779.820887	1425335779.820755	277.4322254436598	554.8644508873195
8388608	2	10000	100	5	0.000129	1425338575.358852	1425338575.358716	277.2825007908583	554.5650015817166
524288	2	1000	100	5	0.000127	1425331783.966308	1425331783.966173	277.4409060339416	554.8818120678832
524288	2	1000	100	5	0.000123	1425334581.092036	1425334581.091906	277.9322433320981	555.8644866641962
524288	2	1000	100	5	0.000129	1425337370.353262	1425337370.353126	276.8730541723661	553.7461083447322
131072	2	50000	100	5	0.000122	1425333662.595527	1425333662.595398	277.0210805335478	554.0421610670955
131072	2	50000	100	5	0.000124	1425336449.278996	1425336449.278865	275.2016817225466	550.4033634450932
131072	2	50000	100	5	0.000123	1425339247.161072	1425339247.160942	276.386840901904	552.7736818038079
4194304	2	5000	100	5	0.000123	1425332315.8275	1425332315.827369	276.7469172496455	553.493834499291
4194304	2	5000	100	5	0.000123	1425335107.352503	1425335107.352372	277.6032771170971	555.2065542341942
4194304	2	5000	100	5	0.000128	1425337900.725738	1425337900.725603	277.2314634529841	554.4629269059682
262144	2	500	100	5	0.000129	1425331459.468857	1425331459.46872	276.6118483151636	553.2236966303273
262144	2	500	100	5	0.000124	1425334257.353668	1425334257.353537	276.9228436831784	553.8456873663569
262144	2	500	100	5	0.000122	1425337046.55734	1425337046.55721	276.5902773510805	553.1805547021611
4194304	2	10000	200	5	0.000122	1425333002.044083	1425333002.043954	277.579659161534	555.159318323068
4194304	2	10000	200	5	0.000124	1425335790.737918	1425335790.737787	277.4559583449517	554.9119166899035
4194304	2	10000	200	5	0.000124	1425338586.248292	1425338586.248161	278.3074901450576	556.6149802901151
262144	2	1000	200	5	0.000123	1425331794.860348	1425331794.860217	278.3702002917603	556.7404005835206
262144	2	1000	200	5	0.000123	1425334592.003632	1425334592.003502	278.527522705896	557.0550454117921
262144	2	1000	200	5	0.000123	1425337381.24821	1425337381.24808	278.268539531051	556.537079062102
131072	2	50000	200	5	0.000122	1425333673.479916	1425333673.479786	277.7016467131914	555.4032934263828
131072	2	50000	200	5	0.000123	1425336460.17036	1425336460.170231	277.5608097308585	555.121619461717
131072	2	50000	200	5	0.000124	1425339258.512555	1425339258.512424	277.7934885025788	555.5869770051577
2097152	2	5000	200	5	0.00013	1425332327.241807	1425332327.24167	277.6372744049926	555.2745488099853
2097152	2	5000	200	5	0.000123	1425335118.236748	1425335118.236612	278.6711790329971	557.3423580659943
2097152	2	5000	200	5	0.000124	1425337911.639214	1425337911.639083	277.7684347177819	555.5368694355639
131072	2	500	200	5	0.000123	1425331470.842172	1425331470.842042	278.4612860029287	556.9225720058574
131072	2	500	200	5	0.000125	1425334268.257996	1425334268.257863	278.4813864645041	556.9627729290082
131072	2	500	200	5	0.000123	1425337057.495083	1425337057.494953	276.7968007653055	553.593601530611
33554432	2	10000	20	5	0.000514	1425332955.609187	1425332955.608664	272.021006325071	544.0420126501419
33554432	2	10000	20	5	0.000515	1425335744.884108	1425335744.883584	273.9772068763939	547.9544137527878
33554432	2	10000	20	5	0.000561	1425338540.106584	1425338540.106013	273.5933859967453	547.1867719934905
2097152	2	1000	20	5	0.000527	1425331748.668075	1425331748.667539	272.6239881221998	545.2479762443995
2097152	2	1000	20	5	0.000504	1425334545.653346	1425334545.652833	273.1604108607133	546.3208217214266
2097152	2	1000	20	5	0.000568	1425337334.881834	1425337334.881257	277.1868736010971	554.3737472021943
262144	2	100	20	5	0.000531	1425331241.909095	1425331241.908555	273.5681991903761	547.1363983807522
262144	2	100	20	5	0.000534	1425334039.569616	1425334039.569072	277.841784176705	555.68356835341
262144	2	100	20	5	0.0005240000000000001	1425336828.909011	1425336828.908477	279.0872402449952	558.1744804899904
131072	2	50000	20	5	0.000509	1425333627.624551	1425333627.624033	273.7623254677191	547.5246509354381
131072	2	50000	20	5	0.000523	1425336414.253018	1425336414.252485	279.4113561983177	558.8227123966354
131072	2	50000	20	5	0.000528	1425339212.152009	1425339212.15147	273.2113179047809	546.4226358095617
16777216	2	5000	20	5	0.000512	1425332280.540219	1425332280.539697	280.2181646161728	560.4363292323455
16777216	2	5000	20	5	0.00055	1425335072.578079	1425335072.577519	273.2602065213933	546.5204130427867
16777216	2	5000	20	5	0.000552	1425337865.033038	1425337865.032476	274.1486714778689	548.2973429557378
1048576	2	500	20	5	0.000532	1425331424.11015	1425331424.109609	278.995178287579	557.990356575158
1048576	2	500	20	5	0.000527	1425334221.73064	1425334221.730105	274.2375622361785	548.475124472357
1048576	2	500	20	5	0.000531	1425337011.387038	1425337011.386497	272.8621379002618	545.7242758005236
16777216	2	10000	30	5	0.000508	1425332958.349776	1425332958.349258	269.1582932132191	538.3165864264382
16777216	2	10000	30	5	0.000514	1425335747.548115	1425335747.547593	270.6028331844083	541.2056663688167
16777216	2	10000	30	5	0.000539	1425338542.864348	1425338542.863799	270.1918791204542	540.3837582409085
2097152	2	1000	30	5	0.000516	1425331751.425927	1425331751.425401	276.4124567664819	552.8249135329638
2097152	2	1000	30	5	0.000505	1425334548.377607	1425334548.377093	270.2534204969301	540.5068409938601
2097152	2	1000	30	5	0.000549	1425337337.646805	1425337337.646246	269.9897426532627	539.9794853065254
262144	2	100	30	5	0.000505	1425331244.650362	1425331244.649847	270.0679959363732	540.1359918727464
262144	2	100	30	5	0.000544	1425334042.234892	1425334042.234339	270.9629440079912	541.9258880159824
262144	2	100	30	5	0.000532	1425336831.670262	1425336831.66972	271.9319771910965	543.8639543821929
131072	2	50000	30	5	0.000166	1425333630.389356	1425333630.389182	270.1719616585115	540.343923317023
131072	2	50000	30	5	0.000508	1425336416.945352	1425336416.944834	270.3739279279338	540.7478558558677
131072	2	50000	30	5	0.000538	1425339214.909601	1425339214.909053	269.4885844035693	538.9771688071386
8388608	2	5000	30	5	0.000511	1425332283.263011	1425332283.26249	269.5528896097592	539.1057792195184
8388608	2	5000	30	5	0.000547	1425335075.230946	1425335075.23039	276.1717716943882	552.3435433887764
8388608	2	5000	30	5	0.000525	1425337867.738286	1425337867.737751	269.8510319701167	539.7020639402334
1048576	2	500	30	5	0.000522	1425331426.783718	1425331426.783186	270.4524041048313	540.9048082096625
1048576	2	500	30	5	0.000548	1425334224.415918	1425334224.415361	270.1400998265422	540.2801996530843
1048576	2	500	30	5	0.000521	1425337014.0676	1425337014.06707	269.5938671479012	539.1877342958023
16777216	2	10000	40	5	0.000507	1425332961.52333	1425332961.522815	269.7761036047056	539.5522072094111
16777216	2	10000	40	5	0.000124	1425335750.729627	1425335750.729497	264.7451184661078	529.4902369322157
16777216	2	10000	40	5	0.0005730000000000001	1425338546.139785	1425338546.139202	270.9371264399312	541.8742528798624
2097152	2	1000	40	5	0.000517	1425331754.584102	1425331754.583575	270.7943284706624	541.5886569413249
2097152	2	1000	40	5	0.000506	1425334551.637694	1425334551.63718	270.8376857665771	541.6753715331542
2097152	2	1000	40	5	0.000544	1425337340.935009	1425337340.934456	271.0256165862472	542.0512331724944
131072	2	100	40	5	0.000499	1425331247.905503	1425331247.904994	271.5701821257089	543.1403642514179
131072	2	100	40	5	0.000505	1425334045.395648	1425334045.395133	270.6043871597792	541.2087743195584
131072	2	100	40	5	0.000123	1425336834.808166	1425336834.808036	271.6181496258033	543.2362992516066
131072	2	50000	40	5	0.000506	1425333633.559501	1425333633.558986	272.0169684780323	544.0339369560646
131072	2	50000	40	5	0.000128	1425336420.117696	1425336420.11756	270.0995090053098	540.1990180106196
131072	2	50000	40	5	0.000527	1425339218.07822	1425339218.077684	264.5034214944346	529.0068429888692
8388608	2	5000	40	5	0.000511	1425332286.410812	1425332286.410291	263.8458522469255	527.6917044938509
8388608	2	5000	40	5	0.000543	1425335078.475988	1425335078.475436	270.9137613313194	541.8275226626389
8388608	2	5000	40	5	0.00054	1425337870.918735	1425337870.918185	265.3975738587965	530.795147717593
1048576	2	500	40	5	0.000128	1425331430.041234	1425331430.041099	265.5132544592232	531.0265089184464
1048576	2	500	40	5	0.000527	1425334227.664118	1425334227.663582	269.3115733620727	538.6231467241454
1048576	2	500	40	5	0.000515	1425337017.224322	1425337017.223797	270.4090592289181	540.8181184578361
1048576	2	10000	500	5	0.000124	1425333029.514722	1425333029.514592	282.3710172049576	564.7420344099153
1048576	2	10000	500	5	0.000123	1425335818.229512	1425335818.229382	282.3688417088088	564.7376834176176
1048576	2	10000	500	5	0.000123	1425338612.579093	1425338612.578962	283.1147629220245	566.229525844049
131072	2	1000	500	5	0.000125	1425331822.349095	1425331822.348963	282.9617273479116	565.9234546958231
131072	2	1000	500	5	0.000132	1425334619.551853	1425334619.551715	281.8749161757216	563.7498323514432
131072	2	1000	500	5	0.000123	1425337408.768205	1425337408.768075	282.3396352934627	564.6792705869253
131072	2	50000	500	5	0.000123	1425333699.791421	1425333699.791291	282.9416884772643	565.8833769545287
131072	2	50000	500	5	0.000126	1425336486.488538	1425336486.488405	282.9506007640383	565.9012015280766
131072	2	50000	500	5	0.000122	1425339286.016949	1425339286.016819	282.3712782667482	564.7425565334964
524288	2	5000	500	5	0.000131	1425332353.591846	1425332353.591709	282.3624894519016	564.7249789038032
524288	2	5000	500	5	0.000128	1425335144.563788	1425335144.563653	283.0076701798886	566.0153403597772
524288	2	5000	500	5	0.000123	1425337939.175044	1425337939.174914	282.4492993522975	564.8985987045951
16777216	2	10000	50	5	0.000508	1425332965.138592	1425332965.138074	270.5003989871903	541.0007979743806
16777216	2	10000	50	5	0.000506	1425335754.31333	1425335754.312815	270.7529852142608	541.5059704285216
16777216	2	10000	50	5	0.000149	1425338549.892259	1425338549.892102	269.8831789511511	539.7663579023022
1048576	2	1000	50	5	0.000124	1425331758.321994	1425331758.321864	271.8207390914386	543.6414781828772
1048576	2	1000	50	5	0.000515	1425334555.236652	1425334555.236128	271.5798413506379	543.1596827012758
1048576	2	1000	50	5	0.000536	1425337344.683608	1425337344.683062	271.5259194681655	543.051838936331
131072	2	100	50	5	0.000499	1425331251.507663	1425331251.507155	271.7328706985352	543.4657413970704
131072	2	100	50	5	0.000124	1425334049.008742	1425334049.00861	270.8524971316297	541.7049942632594
131072	2	100	50	5	0.00052	1425336838.413217	1425336838.412687	271.4706784586653	542.9413569173306
131072	2	50000	50	5	0.000496	1425333637.166507	1425333637.166003	271.0351702994938	542.0703405989875
131072	2	50000	50	5	0.000509	1425336423.735374	1425336423.734855	271.4403858970004	542.8807717940008
131072	2	50000	50	5	0.000519	1425339221.681141	1425339221.680612	270.8658420909489	541.7316841818978
8388608	2	5000	50	5	0.000124	1425332290.046897	1425332290.046765	270.7249856639156	541.4499713278311
8388608	2	5000	50	5	0.000528	1425335082.07875	1425335082.078204	271.1808977647729	542.3617955295457
8388608	2	5000	50	5	0.000537	1425337874.647814	1425337874.647267	271.6574083677997	543.3148167355995
524288	2	500	50	5	0.000511	1425331433.786299	1425331433.785778	271.5347708453521	543.0695416907041
524288	2	500	50	5	0.00055	1425334231.290203	1425334231.289643	270.9801287717472	541.9602575434944
524288	2	500	50	5	0.000123	1425337020.823951	1425337020.823821	271.3289246100999	542.6578492201999
8388608	2	10000	60	5	0.000519	1425332969.374086	1425332969.373558	272.4789567952155	544.957913590431
8388608	2	10000	60	5	0.000511	1425335758.40331	1425335758.40279	271.879977063579	543.7599541271579
8388608	2	10000	60	5	0.000124	1425338553.996737	1425338553.996607	271.6433141803969	543.2866283607939
1048576	2	1000	60	5	0.000514	1425331762.418155	1425331762.417631	272.6841628538409	545.3683257076817
1048576	2	1000	60	5	0.000518	1425334559.339155	1425334559.338628	272.4659025417492	544.9318050834984
1048576	2	1000	60	5	0.000539	1425337348.943232	1425337348.942683	273.0193278695282	546.0386557390564
131072	2	100	60	5	0.000518	1425331255.598108	1425331255.597581	273.4806487295327	546.9612974590653
131072	2	100	60	5	0.00052	1425334053.248	1425334053.247471	271.6321293582764	543.2642587165528
131072	2	100	60	5	0.000511	1425336842.496639	1425336842.49612	272.4782815445312	544.9565630890623
131072	2	50000	60	5	0.000123	1425333641.40923	1425333641.409099	272.755189680313	545.510379360626
131072	2	50000	60	5	0.000512	1425336427.860681	1425336427.86016	271.9391511835432	543.8783023670863
131072	2	50000	60	5	0.000537	1425339225.943595	1425339225.943048	272.7682716695293	545.5365433390585
4194304	2	5000	60	5	0.000513	1425332294.128039	1425332294.127517	271.9965567527987	543.9931135055974
4194304	2	5000	60	5	0.00053	1425335086.171615	1425335086.171076	272.4735548834493	544.9471097668986
4194304	2	5000	60	5	0.000527	1425337878.921315	1425337878.920778	270.9498120438936	541.8996240877873
524288	2	500	60	5	0.000511	1425331437.893333	1425331437.892813	272.4998912265629	544.9997824531257
524288	2	500	60	5	0.000521	1425334235.554621	1425334235.554091	272.5604616190838	545.1209232381675
524288	2	500	60	5	0.000523	1425337024.945212	1425337024.944679	272.6359308063359	545.2718616126718
8388608	2	10000	70	5	0.000514	1425332974.147101	1425332974.146577	268.9947985603434	537.9895971206869
8388608	2	10000	70	5	0.000523	1425335763.005763	1425335763.00523	270.1155763925028	540.2311527850055
8388608	2	10000	70	5	0.000554	1425338558.600826	1425338558.600262	269.9088843825178	539.8177687650357
1048576	2	1000	70	5	0.000508	1425331766.991667	1425331766.991151	270.2284337215116	540.4568674430232
1048576	2	1000	70	5	0.000534	1425334564.083034	1425334564.08249	269.9690974127577	539.9381948255154
1048576	2	1000	70	5	0.000558	1425337353.552189	1425337353.551623	269.4024936901013	538.8049873802026
131072	2	50000	70	5	0.000497	1425333645.983157	1425333645.98265	269.0053284766906	538.0106569533813
131072	2	50000	70	5	0.000516	1425336432.468802	1425336432.468276	268.4715992886877	536.9431985773754
131072	2	50000	70	5	0.000124	1425339230.547585	1425339230.547453	268.7806186108137	537.5612372216274
4194304	2	5000	70	5	0.000515	1425332298.87312	1425332298.872596	269.4847471961838	538.9694943923676
4194304	2	5000	70	5	0.000129	1425335090.760982	1425335090.760846	268.189079731859	536.378159463718
4194304	2	5000	70	5	0.000541	1425337883.67948	1425337883.678929	269.5585539651463	539.1171079302926
524288	2	500	70	5	0.000529	1425331442.661041	1425331442.660502	269.4396524726292	538.8793049452584
524288	2	500	70	5	0.000129	1425334240.337537	1425334240.337401	267.8780618464788	535.7561236929575
524288	2	500	70	5	0.000519	1425337029.514149	1425337029.51362	269.8390482031605	539.6780964063211
8388608	2	10000	80	5	0.000511	1425332979.414679	1425332979.414159	272.775997399042	545.551994798084
8388608	2	10000	80	5	0.000523	1425335768.062272	1425335768.061739	272.9678146609103	545.9356293218206
8388608	2	10000	80	5	0.000556	1425338563.819235	1425338563.818669	272.6370011923249	545.2740023846497
1048576	2	1000	80	5	0.000126	1425331772.231823	1425331772.231689	272.0733409364594	544.1466818729187
1048576	2	1000	80	5	0.000513	1425334569.315193	1425334569.31467	272.5265141144067	545.0530282288133
