module:input:0:its	module:input:0:nx	module:measure:time:time	module:output:0:FOM	module:output:0:MaxAbsDiff	module:output:0:MaxRelDiff	module:output:0:TotalAbsDiff	module:output:1:numCycles
100	15	3.322809	101.566775532676	0.0078125	0.001371321035549045	0.03245861455798149	100
100	15	3.325572	101.4823380300556	0.0078125	0.001371321035549045	0.03245861455798149	100
100	15	3.312637	101.8785786689977	0.0078125	0.001371321035549045	0.03245861455798149	100
20	15	0.732662	92.11207113892164	0.01953125	4.711175643024035e-05	0.01972990110516548	20
20	15	0.670616	100.634068646175	0.01953125	4.711175643024035e-05	0.01972990110516548	20
20	15	0.672427	100.3630899254151	0.01953125	4.711175643024035e-05	0.01972990110516548	20
200	15	6.617243	102.0041759827295	0.0068359375	0.0006029870710335672	0.02872246317565441	200
200	15	6.617679	101.9974288978189	0.0068359375	0.0006029870710335672	0.02872246317565441	200
200	15	6.636157	101.7130002005982	0.0068359375	0.0006029870710335672	0.02872246317565441	200
30	15	1.001358	101.0991579248185	0.01171875	0.01198113150894642	0.01174568571150303	30
30	15	1.002472	100.9865239712208	0.01171875	0.01198113150894642	0.01174568571150303	30
30	15	1.003414	100.8919413531722	0.01171875	0.01198113150894642	0.01174568571150303	30
300	15	9.931646000000001	101.9454963141378	0.009765625	0.0005493334610946476	0.04013536125421524	300
300	15	9.947519	101.7827828434136	0.009765625	0.0005493334610946476	0.04013536125421524	300
300	15	9.94398	101.8190546788412	0.009765625	0.0005493334610946476	0.04013536125421524	300
400	15	13.256782	101.833679439158	0.0068359375	0.0002632369287312031	0.04442043602466583	400
400	15	13.312214	101.4096319498522	0.0068359375	0.0002632369287312031	0.04442043602466583	400
400	15	13.275421	101.6906875925793	0.0068359375	0.0002632369287312031	0.04442043602466583	400
50	15	1.672981	100.8598969524147	0.015625	0.0001317902351729572	0.0392179936170578	50
50	15	1.662193	101.5145138775337	0.015625	0.0001317902351729572	0.0392179936170578	50
50	15	1.663955	101.4073272387611	0.015625	0.0001317902351729572	0.0392179936170578	50
500	15	13.528872	101.7813404111455	0.00732421875	0.0008332834695465863	0.04495425894856453	408
500	15	13.551041	101.6148368422394	0.00732421875	0.0008332834695465863	0.04495425894856453	408
500	15	13.557402	101.567149375124	0.00732421875	0.0008332834695465863	0.04495425894856453	408
600	15	13.535959	101.728018881525	0.00732421875	0.0008332834695465863	0.04495425894856453	408
600	15	13.540882	101.6909637277118	0.00732421875	0.0008332834695465863	0.04495425894856453	408
600	15	13.540414	101.6946325225055	0.00732421875	0.0008332834695465863	0.04495425894856453	408
100	20	6.047618	132.280556501875	0.013671875	0.002767992205917835	0.07353933900594711	100
100	20	6.047811	132.2760760512757	0.013671875	0.002767992205917835	0.07353933900594711	100
100	20	6.051397	132.1980797682257	0.013671875	0.002767992205917835	0.07353933900594711	100
20	20	1.226022	130.4887885152802	0.00299072265625	0.0007700459682382643	0.003479489823803306	20
20	20	1.219036	131.2373672851147	0.00299072265625	0.0007700459682382643	0.003479489823803306	20
20	20	1.219781	131.1576459428007	0.00299072265625	0.0007700459682382643	0.003479489823803306	20
200	20	12.087891	132.3624678806019	0.02734375	0.0002149456704501063	0.09581121802330017	200
200	20	12.095228	132.2820083330994	0.02734375	0.0002149456704501063	0.09581121802330017	200
200	20	12.101171	132.2169992131862	0.02734375	0.0002149456704501063	0.09581121802330017	200
30	20	1.82305	131.6384154193466	0.015625	4.058805643580854e-05	0.02052950486540794	30
30	20	1.824447	131.5376267565147	0.015625	4.058805643580854e-05	0.02052950486540794	30
30	20	1.823841	131.5814009460877	0.015625	4.058805643580854e-05	0.02052950486540794	30
300	20	18.158826	132.1660707335322	0.013671875	0.0003594927839003503	0.09575246274471283	300
300	20	18.180048	132.0118833557796	0.013671875	0.0003594927839003503	0.09575246274471283	300
300	20	18.171342	132.0751770069563	0.013671875	0.0003594927839003503	0.09575246274471283	300
400	20	24.266388	131.8687509935027	0.01953125	0.0004449364205356687	0.1201809495687485	400
400	20	24.290151	131.7397393362934	0.01953125	0.0004449364205356687	0.1201809495687485	400
400	20	24.262667	131.889177098227	0.01953125	0.0004449364205356687	0.1201809495687485	400
50	20	3.036934	131.7060990137015	0.015625	0.001421794877387583	0.02630037069320679	50
50	20	3.030274	131.9958139526394	0.015625	0.001421794877387583	0.02630037069320679	50
50	20	3.03214	131.9145547505109	0.015625	0.001421794877387583	0.02630037069320679	50
500	20	30.358755	131.757145390854	0.015625	0.0006224701064638793	0.1247255578637123	500
500	20	30.397428	131.5895416673778	0.015625	0.0006224701064638793	0.1247255578637123	500
500	20	30.393383	131.6070401964788	0.015625	0.0006224701064638793	0.1247255578637123	500
600	20	35.490796	131.4138731911067	0.0078125	0.0006041330634616315	0.1071438789367676	583
600	20	35.51389	131.3284351857546	0.0078125	0.0006041330634616315	0.1071438789367676	583
600	20	35.466268	131.5047080227044	0.0078125	0.0006041330634616315	0.1071438789367676	583
100	22	7.254174	146.7815217067977	0.046875	0.00176820217166096	0.1171048283576965	100
100	22	7.265682	146.5493518264232	0.046875	0.00176820217166096	0.1171048283576965	100
100	22	7.253394	146.7977656997476	0.046875	0.00176820217166096	0.1171048283576965	100
20	22	1.459894	145.8606164609128	0.109375	0.000332930008880794	0.1204245686531067	20
20	22	1.460711	145.7786413414389	0.109375	0.000332930008880794	0.1204245686531067	20
20	22	1.460362	145.8141677851085	0.109375	0.000332930008880794	0.1204245686531067	20
200	22	14.514173	146.7242597521008	0.013671875	0.0001413031131960452	0.09476426243782043	200
