module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.85	0.7	100000	452197063	1360177481	0.453166	1426649393.082599	1426649392.629425	18512	20816
0.85	0.3	70000	155089700	467804019	0.210751	1426649366.49014	1426649366.279381	7164	7948
0.85	0.3	70000	155085872	467804015	0.137475	1426649477.551391	1426649477.413909	7164	7948
0.85	0.3	70000	155086780	467804019	0.137137	1426649586.087643	1426649585.950499	7164	7948
0.85	0.4	70000	194232956	584083357	0.216099	1426649367.843145	1426649367.627038	8600	8828
0.85	0.4	70000	194227643	584083357	0.174228	1426649478.87197	1426649478.697735	8600	8828
0.85	0.4	70000	194227976	584083356	0.174362	1426649587.40338	1426649587.22901	8600	8828
0.85	0.5	70000	231839137	696778899	0.258073	1426649369.31453	1426649369.056449	9856	10132
0.85	0.5	70000	231833475	696778898	0.209416	1426649480.241552	1426649480.032128	9856	10132
0.85	0.5	70000	231827286	696778898	0.209156	1426649588.767657	1426649588.558493	9856	10132
0.85	0.6	70000	267017669	802467414	0.289161	1426649370.776105	1426649370.486936	10952	11264
0.85	0.7	100000	452188019	1360177480	0.415197	1426649503.218448	1426649502.803242	18512	20816
0.85	0.6	70000	267014143	802467413	0.242087	1426649481.646332	1426649481.404237	10952	11264
0.85	0.6	70000	267009498	802467417	0.242646	1426649590.176163	1426649589.933509	10952	11264
0.85	0.7	70000	303967150	913923625	0.326874	1426649372.287205	1426649371.960323	12016	12840
0.85	0.7	70000	303959425	913923620	0.276209	1426649483.100545	1426649482.824329	12016	12840
0.85	0.7	70000	303954080	913923622	0.275659	1426649591.6312	1426649591.355533	12016	12840
0.85	0.8	70000	329149182	988578869	0.347336	1426649373.81107	1426649373.463727	12536	12816
0.85	0.8	70000	329142682	988578874	0.301922	1426649484.587448	1426649484.285518	12536	12816
0.85	0.8	70000	329140759	988578875	0.301702	1426649593.107123	1426649592.805414	12536	12816
0.85	0.2	80000	122757865	370295216	0.150569	1426649375.150058	1426649374.999481	5924	6392
0.85	0.2	80000	122754342	370295214	0.108875	1426649485.885197	1426649485.776315	5924	6392
0.85	0.7	100000	452182336	1360177475	0.415427	1426649611.719811	1426649611.304376	18512	20816
0.85	0.2	80000	122752898	370295210	0.10833	1426649594.401483	1426649594.293145	5924	6392
0.85	0.3	80000	179121080	539508576	0.207343	1426649376.499272	1426649376.291921	8164	8868
0.85	0.3	80000	179116424	539508578	0.159242	1426649487.181894	1426649487.022644	8164	8868
0.85	0.3	80000	179118370	539508575	0.158819	1426649595.693212	1426649595.534385	8164	8868
0.85	0.4	80000	228564750	687653674	0.23798	1426649377.890329	1426649377.652341	9972	10780
0.85	0.4	80000	228561178	687653674	0.204038	1426649488.548625	1426649488.344579	9972	10780
0.85	0.4	80000	228555511	687653672	0.204176	1426649597.047022	1426649596.842838	9972	10780
0.85	0.5	80000	267770978	804220631	0.301255	1426649379.355769	1426649379.054506	11276	11700
0.85	0.5	80000	267773393	804220633	0.241499	1426649489.951133	1426649489.709626	11276	11700
0.85	0.5	80000	267768238	804220632	0.241083	1426649598.44975	1426649598.208659	11276	11700
0.85	0.8	100000	498390639	1497286179	0.53826	1426649394.843984	1426649394.305717	18412	20388
0.85	0.6	80000	307977484	924699887	0.326748	1426649380.858508	1426649380.531752	12492	12804
0.85	0.6	80000	307974947	924699882	0.279855	1426649491.404468	1426649491.124605	12492	12804
0.85	0.6	80000	307971928	924699884	0.279525	1426649599.901148	1426649599.621615	12492	12804
0.85	0.7	80000	344715461	1034919881	0.375387	1426649382.415531	1426649382.040137	13500	13788
0.85	0.7	80000	344709862	1034919871	0.314418	1426649492.894097	1426649492.579671	13500	13788
0.85	0.7	80000	344713590	1034919882	0.31472	1426649601.393617	1426649601.07889	13500	13788
0.85	0.8	80000	388403676	1168595812	0.405794	1426649384.019647	1426649383.613845	14764	16196
0.85	0.8	80000	388389477	1168595812	0.355143	1426649494.445415	1426649494.090265	14764	16196
0.85	0.8	80000	388398292	1168595845	0.355351	1426649602.941793	1426649602.586434	14764	16196
0.85	0.8	100000	498376703	1497286171	0.460444	1426649504.891256	1426649504.430803	18412	20388
0.85	0.2	100000	158918601	479217434	0.140347	1426649604.279875	1426649604.13952	7512	8428
0.85	0.8	100000	498389002	1497286289	0.462191	1426649613.39546	1426649612.93326	18412	20388
0.85	0.2	200000	315256912	939839537	0.32451	1426649396.403964	1426649396.079445	14568	14640
0.85	0.2	200000	315255679	939839539	0.282418	1426649506.403726	1426649506.1213	14568	14640
0.85	0.2	200000	315248025	939839529	0.281414	1426649614.899034	1426649614.617612	14568	14640
0.85	0.3	200000	460681772	1372254098	0.459399	1426649398.064674	1426649397.605266	19936	20704
0.85	0.3	200000	460675634	1372254101	0.415251	1426649508.016947	1426649507.601687	19936	20704
0.85	0.3	200000	460671201	1372254099	0.416566	1426649616.511949	1426649616.095374	19936	20704
0.85	0.4	200000	585721986	1742139136	0.5900030000000001	1426649399.889356	1426649399.299346	24408	24980
0.85	0.4	200000	585724380	1742139144	0.539723	1426649509.803334	1426649509.263602	24408	24980
0.85	0.4	200000	585712370	1742139137	0.538645	1426649618.286173	1426649617.747519	24408	24980
