module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
8388608	1	5000	50	5	1114	0.6634901727218583	283597	0.000171	1425447444.496577	1425447444.4964	175.5350654168128	351.0701308336255
8388608	1	5000	50	5	1134	0.6737967914438503	283552	0.00017	1425450228.034831	1425450228.034656	174.0340504467064	348.0681008934129
8388608	1	5000	50	5	1140	0.6769596199524941	283619	0.000169	1425453019.731422	1425453019.731247	174.162622890825	348.3252457816501
524288	1	500	50	5	1126	0.6546511627906977	281450	0.000168	1425446790.396992	1425446790.396818	175.3499670476322	350.6999340952643
524288	1	500	50	5	1123	0.6559579439252337	281439	0.000169	1425449576.974951	1425449576.974776	173.4247658003354	346.8495316006708
524288	1	500	50	5	1136	0.6678424456202234	281460	0.000167	1425452367.854666	1425452367.854493	175.2285721032051	350.4571442064102
8388608	1	10000	60	5	1159	0.6722737819025522	283605	0.000168	1425448119.753159	1425448119.752985	175.4461440727117	350.8922881454233
8388608	1	10000	60	5	1229	0.7195550351288056	283566	0.00017	1425450908.11242	1425450908.112244	176.6032192109718	353.2064384219436
8388608	1	10000	60	5	1736	0.6151665485471297	283661	0.0005910000000000001	1425453705.504821	1425453705.504223	176.7786949935474	353.5573899870948
1048576	1	1000	60	5	1178	0.6917204932472109	282894	0.000169	1425447056.16136	1425447056.161185	175.5130787828029	351.0261575656058
1048576	1	1000	60	5	1145	0.6823599523241954	282986	0.000168	1425449842.374393	1425449842.374219	176.9354410158674	353.8708820317349
1048576	1	1000	60	5	1191	0.6747875354107649	282984	0.000172	1425452633.774446	1425452633.774269	176.4859566244535	352.971913248907
131072	1	100	60	5	1155	0.6870910172516359	281493	0.000168	1425446679.701644	1425446679.70147	176.4547066035142	352.9094132070284
131072	1	100	60	5	1825	0.6531853972798854	281561	0.000587	1425449466.375397	1425449466.374803	175.5761393207615	351.1522786415229
131072	1	100	60	5	1814	0.6457814168743325	281538	0.000597	1425452256.764832	1425452256.764228	176.4450789181787	352.8901578363574
131072	1	50000	60	5	1770	0.6171548117154811	281755	0.000576	1425448795.456881	1425448795.456298	176.6199567103897	353.2399134207794
131072	1	50000	60	5	1813	0.6269017980636238	281611	0.000604	1425451583.055268	1425451583.054658	175.5174681974331	351.0349363948662
131072	1	50000	60	5	1102	0.6536180308422301	281818	0.000167	1425454380.52488	1425454380.524707	176.6929957959457	353.3859915918914
4194304	1	5000	60	5	1120	0.6515415939499709	283392	0.000169	1425447452.301937	1425447452.301762	175.4634096474332	350.9268192948664
4194304	1	5000	60	5	1728	0.6186895810955961	283443	0.0005820000000000001	1425450235.822854	1425450235.822266	176.5869575611182	353.1739151222364
4194304	1	5000	60	5	1181	0.7008902077151336	283436	0.000172	1425453027.523079	1425453027.522902	176.7799266374011	353.5598532748022
524288	1	500	60	5	1158	0.6748251748251748	281519	0.000171	1425446798.429021	1425446798.428844	174.9882166471795	349.9764332943591
524288	1	500	60	5	1176	0.6750861079219288	281452	0.000171	1425449584.788459	1425449584.788282	176.5081499149174	353.0162998298348
524288	1	500	60	5	1163	0.6676234213547646	281429	0.000176	1425452375.871267	1425452375.871085	176.5002163531059	353.0004327062117
131072	1	10000	70	5	1109	0.6451425247236765	282675	0.000167	1425448128.637062	1425448128.636889	178.6977824303384	357.3955648606769
131072	1	10000	70	5	1148	0.6605293440736478	282650	0.000169	1425450917.014594	1425450917.014419	177.433635575523	354.867271151046
131072	1	10000	70	5	1103	0.6499705362404242	282600	0.000166	1425453714.39398	1425453714.393808	178.9218585831835	357.843717166367
1048576	1	1000	70	5	1169	0.6780742459396751	283022	0.000177	1425447065.314334	1425447065.314151	178.7799698501623	357.5599397003245
1048576	1	1000	70	5	1105	0.6608851674641149	282972	0.000168	1425449851.26809	1425449851.267915	177.5510280948664	355.1020561897327
1048576	1	1000	70	5	1111	0.6624925462134764	283006	0.000169	1425452642.690829	1425452642.690654	176.6904943845317	353.3809887690635
131072	1	50000	70	5	1152	0.6594161419576416	282039	0.000168	1425448804.627469	1425448804.627295	177.4308540942488	354.8617081884977
131072	1	50000	70	5	1202	0.6896156052782558	282054	0.000168	1425451591.973359	1425451591.973185	177.3904506435449	354.7809012870899
131072	1	50000	70	5	1128	0.6416382252559727	282064	0.000166	1425454389.412175	1425454389.411999	178.8809396125345	357.7618792250689
4194304	1	5000	70	5	1129	0.6629477392836172	283402	0.000169	1425447461.201116	1425447461.200941	178.8520913478471	357.7041826956941
4194304	1	5000	70	5	1113	0.654320987654321	283431	0.000169	1425450244.969509	1425450244.969334	178.7994070151164	357.5988140302328
4194304	1	5000	70	5	1170	0.6666666666666666	283306	0.000172	1425453036.710425	1425453036.710246	177.5071309863079	355.0142619726158
524288	1	500	70	5	1138	0.6757719714964371	281464	0.000168	1425446807.325016	1425446807.324841	177.5575817642575	355.115163528515
524288	1	500	70	5	1141	0.6580161476355249	281468	0.000168	1425449593.692579	1425449593.692405	178.5287474155648	357.0574948311296
524288	1	500	70	5	1165	0.6832844574780058	281429	0.000168	1425452385.019603	1425452385.019429	178.7200236858592	357.4400473717184
131072	1	10000	80	5	1078	0.6513595166163142	282600	0.000167	1425448138.700787	1425448138.700613	177.3169190363706	354.6338380727411
131072	1	10000	80	5	1176	0.6873173582700175	282417	0.000168	1425450927.384615	1425450927.38444	176.0230384866822	352.0460769733643
131072	1	10000	80	5	1154	0.6674378253325621	282675	0.00017	1425453724.763217	1425453724.763042	176.6975627446089	353.3951254892177
1048576	1	1000	80	5	1114	0.661520190023753	283001	0.000169	1425447075.38501	1425447075.384835	176.129411342486	352.258822684972
1048576	1	1000	80	5	1191	0.6993540810334703	282924	0.000168	1425449861.642491	1425449861.642316	176.0374818622471	352.0749637244943
1048576	1	1000	80	5	1147	0.668025626092021	282956	0.000171	1425452652.769471	1425452652.769294	175.9771876719641	351.9543753439282
131072	1	50000	80	5	1152	0.6678260869565218	281997	0.000166	1425448814.670049	1425448814.669877	177.2554596201582	354.5109192403165
131072	1	50000	80	5	1134	0.6528497409326425	282069	0.000167	1425451602.342022	1425451602.341848	177.3754165073545	354.750833014709
131072	1	50000	80	5	1185	0.6744450768355151	282044	0.000167	1425454399.766969	1425454399.766797	177.2488159801135	354.4976319602271
4194304	1	5000	80	5	1134	0.6706091070372561	283406	0.000169	1425447471.571068	1425447471.570893	176.1481050703123	352.2962101406247
4194304	1	5000	80	5	1144	0.6781268524007114	283406	0.000168	1425450255.030551	1425450255.030377	177.2480302061625	354.4960604123251
4194304	1	5000	80	5	1155	0.6664743219849971	283371	0.00017	1425453046.784789	1425453046.784612	175.9766243696639	351.9532487393277
524288	1	500	80	5	1153	0.6711292200232829	281394	0.000168	1425446817.706787	1425446817.706613	176.0114150521385	352.0228301042771
524288	1	500	80	5	1185	0.6970588235294117	281434	0.000168	1425449604.066035	1425449604.065861	177.1198994439992	354.2397988879985
524288	1	500	80	5	1143	0.6538901601830663	281464	0.000167	1425452395.069014	1425452395.06884	177.3436600353958	354.6873200707915
131072	1	10000	90	5	1169	0.6549019607843137	282676	0.000173	1425448150.239289	1425448150.23911	178.3829425128989	356.7658850257977
131072	1	10000	90	5	1120	0.6658739595719382	282600	0.000166	1425450938.547059	1425450938.546887	179.6176736981736	359.2353473963473
131072	1	10000	90	5	1173	0.6634615384615384	282597	0.000169	1425453736.309428	1425453736.309254	177.7512606183318	355.5025212366636
524288	1	1000	90	5	1077	0.644524236983842	281484	0.000169	1425447086.896821	1425447086.896646	178.2910232573861	356.5820465147721
524288	1	1000	90	5	1189	0.6702367531003383	281475	0.000174	1425449872.84127	1425449872.84109	178.2268645224316	356.4537290448633
524288	1	1000	90	5	1200	0.6940427993059572	281411	0.000167	1425452664.304084	1425452664.303911	178.3047087222162	356.6094174444325
131072	1	50000	90	5	1145	0.6580459770114943	282019	0.000168	1425448826.223633	1425448826.223459	178.2623741112916	356.5247482225832
131072	1	50000	90	5	1083	0.6396928529238038	282004	0.000167	1425451613.530886	1425451613.530713	178.2704668830642	356.5409337661285
131072	1	50000	90	5	1117	0.6456647398843931	282069	0.000166	1425454410.92691	1425454410.926738	179.5750392697087	359.1500785394173
4194304	1	5000	90	5	1126	0.66548463356974	283401	0.000174	1425447482.746232	1425447482.746051	178.3411492863726	356.6822985727453
4194304	1	5000	90	5	1186	0.6835734870317003	283436	0.000172	1425450266.208851	1425450266.208673	178.177059362988	356.3541187259759
4194304	1	5000	90	5	1133	0.659487776484284	283397	0.000169	1425453057.971589	1425453057.971413	177.75477285934	355.50954571868
262144	1	500	90	5	1177	0.7018485390578414	281716	0.00017	1425446829.203043	1425446829.202867	179.6512609310795	359.302521862159
262144	1	500	90	5	1140	0.691747572815534	281731	0.000173	1425449615.264187	1425449615.264008	178.2955848455671	356.5911696911342
262144	1	500	90	5	1138	0.6818454164170161	281696	0.000173	1425452406.264213	1425452406.264034	178.3273296827391	356.6546593654782
524288	2	10000	1000	5	1142	0.6834230999401556	281720	0.000168	1425448518.226542	1425448518.226367	285.683024583966	571.366049167932
524288	2	10000	1000	5	1135	0.6731909845788849	281697	0.000168	1425451304.00109	1425451304.000915	285.7603170666264	571.5206341332528
524288	2	10000	1000	5	1125	0.6789378394689197	281714	0.000168	1425454105.354735	1425454105.354561	286.0825294684005	572.1650589368011
131072	2	50000	1000	5	1153	0.6562322140011383	282312	0.000168	1425449190.002578	1425449190.002404	285.7775780831215	571.555156166243
131072	2	50000	1000	5	1152	0.6442953020134228	282312	0.000169	1425451979.568033	1425451979.567857	285.7775186612436	571.5550373224871
131072	2	50000	1000	5	1183	0.6850028951939779	282277	0.000166	1425454773.476011	1425454773.475839	285.7388848167161	571.4777696334322
262144	2	5000	1000	5	1111	0.6737416616130989	281701	0.000168	1425447845.653958	1425447845.653784	285.7712200823179	571.5424401646358
262144	2	5000	1000	5	1075	0.6603194103194103	281736	0.000168	1425450632.003481	1425450632.003306	286.3887589722474	572.7775179444949
262144	2	5000	1000	5	1111	0.6700844390832328	281736	0.000168	1425453427.788968	1425453427.788794	285.6961635830862	571.3923271661724
8388608	2	10000	100	5	1109	0.6554373522458629	283643	0.00017	1425448426.588876	1425448426.588701	277.0797209465014	554.1594418930027
8388608	2	10000	100	5	1163	0.6873522458628841	283566	0.000168	1425451211.31547	1425451211.315296	277.3030608627754	554.6061217255508
8388608	2	10000	100	5	1148	0.6737089201877934	283638	0.000167	1425454013.267896	1425454013.267723	277.0914520083689	554.1829040167378
524288	2	1000	100	5	1210	0.6648351648351648	281553	0.000177	1425447228.249295	1425447228.249112	276.4392357475019	552.8784714950039
524288	2	1000	100	5	1259	0.6940463065049615	281553	0.000177	1425450014.432319	1425450014.432136	277.2420888567257	554.4841777134515
524288	2	1000	100	5	1176	0.6735395189003437	281557	0.000172	1425452802.752806	1425452802.752629	277.1253938884352	554.2507877768704
131072	2	50000	100	5	1156	0.6461710452766909	282064	0.000167	1425449097.242672	1425449097.242499	277.8267601765135	555.653520353027
131072	2	50000	100	5	1177	0.6776050662061025	282044	0.000171	1425451885.197747	1425451885.197571	277.2444657032429	554.4889314064858
131072	2	50000	100	5	1088	0.6418879056047198	282044	0.000168	1425454682.489604	1425454682.48943	276.4345096679402	552.8690193358804
4194304	2	5000	100	5	1131	0.6645123384253819	283381	0.000169	1425447755.207035	1425447755.20686	277.8144052070384	555.6288104140768
4194304	2	5000	100	5	1157	0.6801881246325691	283406	0.000167	1425450541.600057	1425450541.599884	276.5675966758914	553.1351933517827
4194304	2	5000	100	5	1164	0.6818980667838312	283411	0.000171	1425453334.616692	1425453334.616515	276.3593311385683	552.7186622771367
262144	2	500	100	5	1119	0.6753168376584189	281633	0.000168	1425446905.057804	1425446905.05763	276.8087866351737	553.6175732703474
262144	2	500	100	5	1118	0.6846295162278015	281633	0.000166	1425449691.517142	1425449691.51697	276.4089360407296	552.8178720814592
262144	2	500	100	5	1051	0.6523898199875854	281711	0.000168	1425452482.748996	1425452482.748822	276.4625905128195	552.9251810256389
4194304	2	10000	200	5	1147	0.6735173223722842	283436	0.000168	1425448437.440484	1425448437.440309	278.1787763036187	556.3575526072375
4194304	2	10000	200	5	1094	0.6546977857570317	283251	0.000168	1425451222.162817	1425451222.162643	279.0395728940349	558.0791457880698
4194304	2	10000	200	5	1204	0.6829268292682927	283437	0.000174	1425454024.590336	1425454024.590156	278.7787181578233	557.5574363156467
262144	2	1000	200	5	1172	0.687793427230047	281628	0.000171	1425447239.578838	1425447239.578661	277.990918749891	555.9818374997819
262144	2	1000	200	5	1118	0.6804625684723068	281700	0.000175	1425450025.272215	1425450025.272035	279.0535243556965	558.107048711393
262144	2	1000	200	5	1150	0.6808762581409118	281638	0.00017	1425452814.083562	1425452814.083385	277.9755272317066	555.9510544634131
131072	2	50000	200	5	1186	0.6685456595264938	282345	0.000173	1425449108.107285	1425449108.107106	277.8097021835687	555.6194043671375
131072	2	50000	200	5	1103	0.6561570493753718	282408	0.000169	1425451896.527885	1425451896.527709	278.1445759158436	556.2891518316873
131072	2	50000	200	5	1127	0.6602226127709432	282396	0.000167	1425454693.803996	1425454693.803822	278.5388121872805	557.077624374561
2097152	2	5000	200	5	1112	0.6480186480186481	283133	0.000168	1425447766.061551	1425447766.061376	277.3124327914763	554.6248655829527
2097152	2	5000	200	5	1124	0.6615656268393173	283194	0.000168	1425450552.452182	1425450552.452003	278.1973578174782	556.3947156349564
2097152	2	5000	200	5	1179	0.6963969285292381	283030	0.000171	1425453345.94098	1425453345.940803	276.9500471971289	553.9000943942578
131072	2	500	200	5	1073	0.6681195516811955	281472	0.000168	1425446915.925952	1425446915.925779	277.9066025755187	555.8132051510373
131072	2	500	200	5	1112	0.6658682634730539	281536	0.000167	1425449702.87907	1425449702.878897	278.7324986680809	557.4649973361618
131072	2	500	200	5	1122	0.6714542190305206	281486	0.000167	1425452493.664484	1425452493.66431	277.617295608416	555.2345912168321
33554432	2	10000	20	5	1807	0.6228886590830748	283334	0.000587	1425448391.308905	1425448391.308312	277.4806756818962	554.9613513637923
33554432	2	10000	20	5	1764	0.632258064516129	283444	0.000604	1425451176.227772	1425451176.227161	272.7254215543821	545.4508431087642
33554432	2	10000	20	5	1790	0.62478184991274	283434	0.000592	1425453978.101055	1425453978.100457	272.9386776393723	545.8773552787446
2097152	2	1000	20	5	1815	0.6413427561837456	283181	0.000586	1425447193.372655	1425447193.372063	279.3616616128868	558.7233232257737
2097152	2	1000	20	5	1726	0.6064652143359101	283156	0.000584	1425449979.332882	1425449979.332292	279.7248390933908	559.4496781867815
2097152	2	1000	20	5	1790	0.6287319985950123	283181	0.0005999999999999999	1425452767.910189	1425452767.909582	272.8675552308368	545.7351104616737
262144	2	100	20	5	1793	0.6306718255364052	281645	0.000583	1425446689.518882	1425446689.518293	274.3073476608654	548.6146953217309
262144	2	100	20	5	1846	0.6474921080322694	281709	0.00059	1425449476.220553	1425449476.219957	273.7507382791357	547.5014765582714
262144	2	100	20	5	1717	0.6293988269794721	281655	0.000597	1425452266.633188	1425452266.632584	273.9772068763939	547.9544137527878
131072	2	50000	20	5	1885	0.6611715187653455	281779	0.000587	1425449062.118616	1425449062.118023	272.6375082202005	545.275016440401
131072	2	50000	20	5	1731	0.6006245662734212	281815	0.000598	1425451850.067319	1425451850.066714	273.5797709309327	547.1595418618655
131072	2	50000	20	5	1871	0.6431763492609144	281768	0.000603	1425454647.140381	1425454647.139772	272.5388423297053	545.0776846594106
16777216	2	5000	20	5	1756	0.6044750430292599	283250	0.0005910000000000001	1425447720.426199	1425447720.425603	272.5496515456712	545.0993030913423
16777216	2	5000	20	5	1799	0.6205588133839255	283239	0.000593	1425450506.571556	1425450506.570958	273.0552630630542	546.1105261261083
16777216	2	5000	20	5	1765	0.6276671408250356	283261	0.000604	1425453299.292258	1425453299.291647	278.125016511775	556.25003302355
1048576	2	500	20	5	1777	0.6385195831836148	282994	0.000584	1425446870.491006	1425446870.490416	272.8506267869728	545.7012535739457
1048576	2	500	20	5	1811	0.6470167917113254	282936	0.000588	1425449656.641458	1425449656.640864	272.0465821403741	544.0931642807482
1048576	2	500	20	5	1810	0.6322039818372337	283028	0.000597	1425452448.050371	1425452448.049769	271.8858036745615	543.771607349123
16777216	2	10000	30	5	1720	0.5990943921978404	283242	0.000576	1425448394.037159	1425448394.036577	270.7743220926853	541.5486441853707
16777216	2	10000	30	5	1739	0.6241923905240488	283231	0.000584	1425451178.967151	1425451178.966561	271.6238531828692	543.2477063657384
16777216	2	10000	30	5	1748	0.6157097569566748	283236	0.0005999999999999999	1425453980.837411	1425453980.836805	270.6552341984473	541.3104683968945
2097152	2	1000	30	5	1858	0.6491963661774982	283147	0.000588	1425447196.099862	1425447196.099268	270.0657847690567	540.1315695381134
2097152	2	1000	30	5	1781	0.628662195552418	283151	0.000584	1425449981.987776	1425449981.987186	269.9212530013846	539.8425060027691
2097152	2	1000	30	5	1715	0.6173506119510439	283172	0.000596	1425452770.581822	1425452770.581219	269.154339905901	538.308679811802
262144	2	100	30	5	1793	0.6410439756882373	281720	0.000578	1425446692.252082	1425446692.251499	270.8975193923944	541.7950387847889
262144	2	100	30	5	1174	0.7063778580024067	281697	0.00017	1425449478.88175	1425449478.881574	270.5992813077227	541.1985626154454
262144	2	100	30	5	1161	0.6981358989777511	281726	0.000171	1425452269.322677	1425452269.3225	269.38118388679	538.7623677735801
131072	2	50000	30	5	1813	0.636140350877193	281787	0.000586	1425449064.779504	1425449064.778912	269.5273400321288	539.0546800642577
131072	2	50000	30	5	1858	0.6491963661774982	281737	0.000596	1425451852.820577	1425451852.819975	268.8529131600826	537.7058263201651
131072	2	50000	30	5	1982	0.6716367333107421	281755	0.000606	1425454649.810589	1425454649.809978	269.6714501465048	539.3429002930096
8388608	2	5000	30	5	1800	0.6243496357960457	283596	0.0005910000000000001	1425447723.163486	1425447723.16289	270.4896629782824	540.9793259565647
8388608	2	5000	30	5	1788	0.6201873048907388	283632	0.000589	1425450509.30431	1425450509.303714	268.7315680957044	537.4631361914088
8388608	2	5000	30	5	1787	0.6341376863023421	283637	0.000597	1425453302.04401	1425453302.043407	270.6907718546943	541.3815437093887
1048576	2	500	30	5	1143	0.6856628674265147	283016	0.000172	1425446873.153054	1425446873.152877	267.3848910147954	534.7697820295907
1048576	2	500	30	5	1834	0.6412587412587413	283003	0.000593	1425449659.359512	1425449659.358913	277.7362761190586	555.4725522381173
1048576	2	500	30	5	1786	0.6399140093156575	283003	0.000602	1425452450.718537	1425452450.717928	268.8673767370434	537.7347534740868
16777216	2	10000	40	5	1180	0.6844547563805105	283233	0.00017	1425448397.197701	1425448397.197525	271.1726713557627	542.3453427115254
16777216	2	10000	40	5	1798	0.6360099044923948	283235	0.000589	1425451182.218833	1425451182.218239	270.5291508441798	541.0583016883596
16777216	2	10000	40	5	1809	0.6244390749050742	283266	0.000603	1425453983.972481	1425453983.971872	271.4267162469204	542.8534324938408
2097152	2	1000	40	5	1814	0.6546373150487189	283128	0.000588	1425447199.347412	1425447199.346817	270.414712120452	540.829424240904
2097152	2	1000	40	5	1883	0.6660771135479306	283191	0.000593	1425449985.243616	1425449985.243017	265.0773351694476	530.1546703388952
2097152	2	1000	40	5	1858	0.6496503496503496	283172	0.000612	1425452773.755366	1425452773.754748	270.099840760939	540.199681521878
131072	2	100	40	5	1713	0.6141986375044819	281548	0.000578	1425446695.42102	1425446695.420436	265.9441771723382	531.8883543446765
131072	2	100	40	5	1794	0.6443965517241379	281427	0.000599	1425449482.149427	1425449482.148822	270.8003309605613	541.6006619211227
131072	2	100	40	5	1705	0.6080599144079886	281508	0.000592	1425452272.583812	1425452272.583213	264.8602308622139	529.7204617244279
131072	2	50000	40	5	1881	0.6439575487846628	281794	0.000585	1425449067.918706	1425449067.918115	271.1375642452369	542.2751284904739
131072	2	50000	40	5	1856	0.6393386152256286	281929	0.0005999999999999999	1425451855.963541	1425451855.962935	270.5764183335425	541.152836667085
131072	2	50000	40	5	1818	0.6215384615384615	281792	0.000614	1425454653.152512	1425454653.151891	270.7399847027986	541.4799694055972
8388608	2	5000	40	5	1833	0.6400139664804469	283473	0.00058	1425447726.302771	1425447726.302184	271.0142599012823	542.0285198025647
8388608	2	5000	40	5	1774	0.6374416097736256	283632	0.0005910000000000001	1425450512.439316	1425450512.438719	271.4364322782521	542.8728645565043
8388608	2	5000	40	5	1813	0.6484263233190272	283651	0.000594	1425453305.302016	1425453305.301416	269.7909976826929	539.5819953653858
1048576	2	500	40	5	1844	0.6671490593342981	282998	0.000598	1425446876.305496	1425446876.304892	269.6609782436537	539.3219564873075
1048576	2	500	40	5	1774	0.6228932584269663	283003	0.000585	1425449662.500387	1425449662.499795	265.86218782705	531.7243756541
1048576	2	500	40	5	1777	0.6272502647370279	282929	0.000589	1425452453.857147	1425452453.856552	270.1107891539198	540.2215783078396
