module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	200	27000	29791	30	0	0.037291
0	30	27000	29791	30	0	0.037304
0	30	27000	29791	30	0	0.037294
0	30	27000	29791	30	0	0.037304
0	300	27000	29791	30	0	0.037325
0	300	27000	29791	30	0	0.037277
0	300	27000	29791	30	0	0.037254
0	400	27000	29791	30	0	0.037319
0	400	27000	29791	30	0	0.037295
0	400	27000	29791	30	0	0.037279
0	50	27000	29791	30	0	0.037259
0	50	27000	29791	30	0	0.037327
0	50	27000	29791	30	0	0.037266
0	500	27000	29791	30	0	0.037316
0	500	27000	29791	30	0	0.037275
0	500	27000	29791	30	0	0.037272
0	600	27000	29791	30	0	0.037287
0	600	27000	29791	30	0	0.03762
0	600	27000	29791	30	0	0.037524
0	100	42875	46656	35	0	0.046719
0	100	42875	46656	35	0	0.04669
0	100	42875	46656	35	0	0.046745
0	20	42875	46656	35	0	0.046677
0	20	42875	46656	35	0	0.046736
0	20	42875	46656	35	0	0.046727
0	200	42875	46656	35	0	0.04669
0	200	42875	46656	35	0	0.046769
0	200	42875	46656	35	0	0.046688
0	30	42875	46656	35	0	0.046673
0	30	42875	46656	35	0	0.04669
0	30	42875	46656	35	0	0.046838
0	300	42875	46656	35	0	0.049888
0	300	42875	46656	35	0	0.046857
0	300	42875	46656	35	0	0.046714
0	400	42875	46656	35	0	0.046806
0	400	42875	46656	35	0	0.046653
0	400	42875	46656	35	0	0.046689
0	50	42875	46656	35	0	0.046764
0	50	42875	46656	35	0	0.046757
0	50	42875	46656	35	0	0.046766
0	500	42875	46656	35	0	0.046668
0	500	42875	46656	35	0	0.04669
0	500	42875	46656	35	0	0.04673
0	600	42875	46656	35	0	0.046761
0	600	42875	46656	35	0	0.046732
0	600	42875	46656	35	0	0.046709
0	100	64000	68921	40	0	0.064091
0	100	64000	68921	40	0	0.064093
0	100	64000	68921	40	0	0.064336
0	20	64000	68921	40	0	0.064064
0	20	64000	68921	40	0	0.064165
0	20	64000	68921	40	0	0.064126
0	200	64000	68921	40	0	0.064092
0	200	64000	68921	40	0	0.06411799999999999
0	200	64000	68921	40	0	0.064153
0	30	64000	68921	40	0	0.064108
0	30	64000	68921	40	0	0.06412
0	30	64000	68921	40	0	0.064055
0	300	64000	68921	40	0	0.064106
0	300	64000	68921	40	0	0.064141
0	300	64000	68921	40	0	0.064099
0	400	64000	68921	40	0	0.064134
0	400	64000	68921	40	0	0.06415899999999999
0	400	64000	68921	40	0	0.06412900000000001
0	50	64000	68921	40	0	0.064139
0	50	64000	68921	40	0	0.064151
0	50	64000	68921	40	0	0.06413000000000001
0	500	64000	68921	40	0	0.064253
0	500	64000	68921	40	0	0.06413199999999999
0	500	64000	68921	40	0	0.064111
0	600	64000	68921	40	0	0.06419900000000001
0	600	64000	68921	40	0	0.064099
0	600	64000	68921	40	0	0.06414
0	100	3375	4096	15	0	0.004685
0	100	3375	4096	15	0	0.004689
0	100	3375	4096	15	0	0.004684
0	20	3375	4096	15	0	0.004989
0	20	3375	4096	15	0	0.004684
0	20	3375	4096	15	0	0.004706
0	200	3375	4096	15	0	0.004706
0	200	3375	4096	15	0	0.004692
0	200	3375	4096	15	0	0.004683
0	30	3375	4096	15	0	0.004691
0	30	3375	4096	15	0	0.004699
0	30	3375	4096	15	0	0.004695
0	300	3375	4096	15	0	0.004673
