input:inputSize	input:crf	input:Bitrate	input:scalingRatio	measure:time	measure:benchtime	measure:PAPI_L2_DCM	measure:PAPI_FP_INS	measure:PSNR	measure:outBitrate
3474735	20	0	0	21697.3789	236.7020	27011932	21268314	44.170	7272.93
5587649	40	0	0	28287.4502	213.5325	38547073	28061941	30.723	629.16
5587649	40	0	0	28718.3062	213.2526	38444399	28062620	30.723	629.16
5587649	40	0	0	28390.2522	213.8145	38436472	28068573	30.723	629.16
3474735	50	0	0	18937.5691	114.5926	26811672	21263052	26.319	144.26
2634649	35	0	0	14642.2151	128.7614	20986328	17869623	33.431	867.00
2634649	35	0	0	14784.0110	128.6174	21019579	17862550	33.431	867.00
2634649	35	0	0	14533.0879	129.0474	20960750	17867337	33.431	867.00
5587649	50	0	0	27322.8970	167.8185	38434072	28063109	26.117	153.35
5587649	50	0	0	27488.8440	167.2456	38506157	28063260	26.117	153.35
5587649	50	0	0	27336.7151	168.1034	38487726	28060616	26.117	153.35
927395	50	0	0	5050.6082	39.2940	9387867	11157085	26.598	87.90
927395	50	0	0	5040.9248	39.3250	9355579	11157520	26.598	87.90
927395	50	0	0	5052.1250	39.2000	9362425	11155822	26.598	87.90
2634649	45	0	0	13967.0891	104.9460	21120522	17872919	28.262	260.16
2634649	45	0	0	13993.7710	104.4811	20924226	17872823	28.262	260.16
2634649	45	0	0	14109.8811	104.1832	20967536	17870937	28.262	260.16
5587649	23	0	0	30501.1792	330.1058	38868013	28072526	41.503	5118.73
5587649	23	0	0	30424.8550	329.3229	38702565	28069332	41.503	5118.73
5587649	23	0	0	30358.6221	329.7409	38709152	28067478	41.503	5118.73
5587649	30	0	0	29376.2839	276.8749	38554042	28068350	36.246	1969.08
5587649	30	0	0	29485.9390	277.2369	38693603	28064376	36.246	1969.08
5587649	30	0	0	29360.3860	277.1009	38716002	28065675	36.246	1969.08
1783843	35	0	0	10307.5359	90.0073	15208995	14546881	33.645	772.84
5587649	35	0	0	29026.6838	244.3379	38571688	28069994	33.278	1090.68
1783843	35	0	0	10211.3459	90.0633	15288948	14541838	33.645	772.84
5587649	35	0	0	28921.3389	244.2149	38496771	28066765	33.278	1090.68
4759483	40	0	0	24074.4651	180.2646	32679618	24680303	30.825	618.96
4759483	40	0	0	24057.5840	180.0526	32665731	24675221	30.825	618.96
4759483	40	0	0	23777.4661	181.0095	32765154	24671551	30.825	618.96
1783843	45	0	0	9676.8552	75.1576	15233888	14545074	28.440	226.30
1783843	45	0	0	9713.2710	75.1796	15258182	14544244	28.440	226.30
1783843	45	0	0	9736.2920	74.9766	15183073	14547190	28.440	226.30
3474735	45	0	0	19360.4531	133.7677	26786764	21267276	28.324	316.74
3474735	45	0	0	19569.8530	134.1486	26686051	21261777	28.324	316.74
3474735	45	0	0	19395.4551	133.4817	26758951	21264701	28.324	316.74
4759483	30	0	0	25008.9250	231.8398	32710635	24674883	36.353	1938.93
4759483	30	0	0	25011.8499	231.8738	32655585	24677624	36.353	1938.93
4759483	30	0	0	24849.7209	231.8797	32685106	24679689	36.353	1938.93
927395	23	0	0	6079.6189	55.9895	9444443	11155280	43.696	2518.95
927395	23	0	0	6043.6069	55.8015	9340448	11155833	43.696	2518.95
927395	23	0	0	6077.4260	55.8625	9311244	11156959	43.696	2518.95
