module:input:0:its	module:input:0:nx	module:input:1:MaxAbsDiff	module:input:1:MaxRelDiff	module:input:1:TotalAbsDiff	module:input:1:iter	module:input:1:numElem	module:input:1:numNode	module:input:1:phase	module:pub_input::its	module:pub_input::nx	module:measure:time:time	module:output:0:MaxAbsDiff	module:output:0:MaxRelDiff	module:output:0:TotalAbsDiff
500	20	0	0	0	0	8000	9261	0	500	20	9.776221	0.009765625	2.172389395127539e-05	0.06366463750600815
500	20	0	0	0	0	8000	9261	0	500	20	9.791585	0.009765625	2.172389395127539e-05	0.06366463750600815
500	20	0	0	0	0	8000	9261	0	500	20	9.791646999999999	0.009765625	2.172389395127539e-05	0.06366463750600815
600	20	0	0	0	0	8000	9261	0	600	20	9.784127	0.009765625	2.172389395127539e-05	0.06366463750600815
600	20	0	0	0	0	8000	9261	0	600	20	9.813131	0.009765625	2.172389395127539e-05	0.06366463750600815
600	20	0	0	0	0	8000	9261	0	600	20	9.791091	0.009765625	2.172389395127539e-05	0.06366463750600815
100	22	0	0	0	0	10648	12167	0	100	22	7.248684	0.046875	0.00176820217166096	0.1171048283576965
100	22	0	0	0	0	10648	12167	0	100	22	7.260202	0.046875	0.00176820217166096	0.1171048283576965
100	22	0	0	0	0	10648	12167	0	100	22	7.247902	0.046875	0.00176820217166096	0.1171048283576965
20	22	0	0	0	0	10648	12167	0	20	22	1.454411	0.109375	0.000332930008880794	0.1204245686531067
20	22	0	0	0	0	10648	12167	0	20	22	1.455275	0.109375	0.000332930008880794	0.1204245686531067
20	22	0	0	0	0	10648	12167	0	20	22	1.45489	0.109375	0.000332930008880794	0.1204245686531067
200	22	0	0	0	0	10648	12167	0	200	22	13.704628	0.015625	0.000441062991740182	0.09051930904388428
200	22	0	0	0	0	10648	12167	0	200	22	13.716447	0.015625	0.000441062991740182	0.09051930904388428
200	22	0	0	0	0	10648	12167	0	200	22	13.699248	0.015625	0.000441062991740182	0.09051930904388428
30	22	0	0	0	0	10648	12167	0	30	22	2.187176	0.140625	1.527101449028123e-05	0.1711035966873169
30	22	0	0	0	0	10648	12167	0	30	22	2.181129	0.140625	1.527101449028123e-05	0.1711035966873169
30	22	0	0	0	0	10648	12167	0	30	22	2.181275	0.140625	1.527101449028123e-05	0.1711035966873169
300	22	0	0	0	0	10648	12167	0	300	22	13.694938	0.015625	0.000441062991740182	0.09051930904388428
300	22	0	0	0	0	10648	12167	0	300	22	13.716915	0.015625	0.000441062991740182	0.09051930904388428
300	22	0	0	0	0	10648	12167	0	300	22	13.718364	0.015625	0.000441062991740182	0.09051930904388428
400	22	0	0	0	0	10648	12167	0	400	22	13.709677	0.015625	0.000441062991740182	0.09051930904388428
400	22	0	0	0	0	10648	12167	0	400	22	13.70782	0.015625	0.000441062991740182	0.09051930904388428
400	22	0	0	0	0	10648	12167	0	400	22	13.706314	0.015625	0.000441062991740182	0.09051930904388428
50	22	0	0	0	0	10648	12167	0	50	22	3.653234	0.03125	0.001174517092294991	0.09640537947416306
50	22	0	0	0	0	10648	12167	0	50	22	3.629501	0.03125	0.001174517092294991	0.09640537947416306
50	22	0	0	0	0	10648	12167	0	50	22	3.626969	0.03125	0.001174517092294991	0.09640537947416306
500	22	0	0	0	0	10648	12167	0	500	22	13.701681	0.015625	0.000441062991740182	0.09051930904388428
500	22	0	0	0	0	10648	12167	0	500	22	13.708121	0.015625	0.000441062991740182	0.09051930904388428
500	22	0	0	0	0	10648	12167	0	500	22	13.709756	0.015625	0.000441062991740182	0.09051930904388428
600	22	0	0	0	0	10648	12167	0	600	22	13.700617	0.015625	0.000441062991740182	0.09051930904388428
600	22	0	0	0	0	10648	12167	0	600	22	13.719647	0.015625	0.000441062991740182	0.09051930904388428
600	22	0	0	0	0	10648	12167	0	600	22	13.731135	0.015625	0.000441062991740182	0.09051930904388428
100	25	0	0	0	0	15625	17576	0	100	25	10.422941	0.046875	0.0001216552700498141	0.1363112330436707
100	25	0	0	0	0	15625	17576	0	100	25	10.438293	0.046875	0.0001216552700498141	0.1363112330436707
100	25	0	0	0	0	15625	17576	0	100	25	10.432405	0.046875	0.0001216552700498141	0.1363112330436707
20	25	0	0	0	0	15625	17576	0	20	25	2.089882	0.0029296875	3.295960414106958e-05	0.00360159226693213
20	25	0	0	0	0	15625	17576	0	20	25	2.08992	0.0029296875	3.295960414106958e-05	0.00360159226693213
20	25	0	0	0	0	15625	17576	0	20	25	2.091052	0.0029296875	3.295960414106958e-05	0.00360159226693213
200	25	0	0	0	0	15625	17576	0	200	25	20.865476	0.0234375	0.0004168215382378548	0.1915530860424042
200	25	0	0	0	0	15625	17576	0	200	25	20.864198	0.0234375	0.0004168215382378548	0.1915530860424042
200	25	0	0	0	0	15625	17576	0	200	25	20.858904	0.0234375	0.0004168215382378548	0.1915530860424042
30	25	0	0	0	0	15625	17576	0	30	25	3.132335	2.6702880859375e-05	0.01864496804773808	3.068646037718281e-05
